Name,Gen,Gen2,Description,Note,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Red ID Badge,3,,One of four keys needed to open the front door of Realgam Tower.,,ＩＤバッジあか,ID Badge Aka,Passe Rouge,Rote ID-Marke,Pass Rosso,Pase Rojo,,,,,0
Blu ID Badge,3,,One of four keys needed to unlock the north door of Realgam Tower.,,ＩＤバッジあお,ID Badge Ao,Passe Bleu,Blaue ID-Marke,Pass Blu,Pase Azul,,,,,0
Pair of Tickets,6,,Allows entry for two to the Mossdeep Space Center for the Litleonid star show.,,ペアチケット,Pair Ticket,Ticket Duo,Zweierticket,Biglietto doppio,Entrada para dos,페어티켓,Pair of Tickets,雙人票 / 双人票,Shuāngrén Piào / Sēungyàhn Piu,0
Roto Bargain,,,,,やすうりポン,Yasu'uri Pon,Moti-Promo,Schnäppchenbon,Sconto'n'roll,Cupón Rebaja, ???, ???,優惠碰碰 / 优惠碰碰,Yōuhuì Pèngpèng / Yāuwaih Pungpung,0
GB Sounds,4,,Allows player to listen to 8-bit background music in Johto.,,ＧＢプレイヤー,GB Player,Lecteur GB,GB-Player,Lettore GB,Lector GB,GB플레이어,GB Player,ＧＢ播放器,GB Bōfàng Qì / GB Bofong Hei,0
Darkinium Z,7,,Allows a Pokémon to upgrade their Dark-type damaging moves to the Z-Move Black Hole Eclipse or upgrade their Dark-type status moves into Z-Moves. Makes Arceus a Dark-type Pokémon.,,アクＺ,Evil-Z,Ténébrozélite,Noctium Z,Obscurium Z,Nictostal Z,악Z,Ak-Z,惡Ｚ / 恶Ｚ,È-Z / Ok-Z,0
Tri-Pass,3,,Allows the player to travel to the first three Sevii Islands.,,トライパス,Tri Pass,Tri-Pass,Tri-Pass,Tri-Pass,Tri-Ticket,,,,,0
Burn Heal,1,,Heals a burn.,,やけどなおし,Yakedo Naoshi,Anti-Brûle,Feuerheiler,Antiscottatura,Antiquemar,화상치료제,Hwasang Chiryoje,灼傷藥 / 灼伤药,Zhuóshāngyào / Cheuksēungyeuhk,0
Burnt Berry,2,,Thaws out a frozen Pokémon.,,やけたきのみ,Yaketa Kino Mi,Baie Brulure,Brandbeere,Bacca Bruc.,Antiquembaya,불탄나무열매,Bultan Namu Yeolmae,,,0
Old Gateau,4,,Cures any status condition.,,もりのヨウカン,Mori no Yōkan,Vieux Gâteau,Spezialität,Dolce Gateau,Barrita Plus,숲의양갱,Sup-ui Yanggaeng,森之羊羹,Sēn-zhī Yánggēng / Sām-jī Yèuhnggāng,0
Focus Band,2,,May leave the holder with 1 HP when a move would normally cause them to faint.,,きあいのハチマキ,Kiai no Hachimaki,Bandeau,Fokus-Band,Bandana,Cinta Focus,기합의머리띠,Gihabui Meoritti,氣勢頭帶 / 气势头带,Qìshì Tóudài / Heisai Tàuhdaai,0
Roto Encounter,,,,,みっけポン,Mikke Pon,Moti-Appât,Lockbon,Incontra'n'roll,Cupón Reclamo, ???, ???,相遇碰碰,Xiāngyù Pèngpèng / Sēungyuh Pungpung,0
Rock Gem,5,,"Increases the power of the holder's first Rock-type move by 50%, and is consumed after use.",,いわのジュエル,Iwa no Jewel,Joyau Roche,Gesteinsjuwel,Bijouroccia,Gema Roca,바위주얼,Bawi Jewel,岩石寶石 / 岩石宝石,Yánshí Bǎoshí / Ngàahmsehk Bóusehk,80
Lopunnite,6,,Allows Lopunny to Mega Evolve into Mega Lopunny.,,ミミロップナイト,Mimilopnite,Lockpinite,Schlapornit,Lopunnite,Lopunnita,이어롭나이트,Ieoropnite,長耳兔進化石 / 长耳兔进化石,Cháng'ěrtù Jìnhuà Shí / Chèuhngyíhtou Jeunfa Sehk,0
Groundium Z,7,,Allows a Pokémon to upgrade their Ground-type damaging moves to the Z-Move Tectonic Rage or upgrade their Ground-type status moves into Z-Moves. Makes Arceus a Ground-type Pokémon.,,ジメンＺ,Ground-Z,Terrazélite,Terrium Z,Terrium Z,Geostal Z,땅Z,Ttang-Z,地面Ｚ,Dìmiàn-Z / Deihmín-Z,0
Dusk Ball,4,,A type of Poké Ball that works especially well in dark places such as caves or at night.,,ダークボール,Dark Ball,Sombre Ball,Finsterball,Scuro Ball,Ocaso Ball,다크볼,Dark Ball,黑暗球,Hēi'àn Qiú / Hākam Kàuh,0
Meteorite Shard,6,,To be delivered to Steven Stone and Professor Cozmo.,,いんせきのかけら,Inseki no Kakera,Éclat Météorite,Meteoritenstück,Framm. meteorite,Frag. Meteorito,운석조각,Unseok Jogag,隕石碎片 / 陨石碎片,Yǔnshí suìpiàn / Wáhnsehk Seuipín,0
D-Disk,3,,Moves the UFO in The Under downward into Deep Colosseum.,,Ｄ－ディスク,D-Disk,Disque-B,U-Disc,Disco Giù,Disco B,,,,,0
Pink Apricorn,2,,Kurt will make a Love Ball out of it.,Formatted as Pnk Apricorn prior to Generation VI.,ももぼんぐり,Momo Bonguri,Noigrume Ros,Aprikoko Pnk,Ghicocca Rosa,Bonguri Rosa,담홍규토리,Damhong Gyutori,粉球果,Fěn Qiúguǒ / Fán Kàuhgwó,1072
Medal Box,5,,A box-shaped machine that stores Medals and Medal information.,,メダルボックス,Medal Box,B. Médailles,Medaillenbox,Box Premi,C. Insignias,메달박스,Medal Box,獎牌盒 / 奖牌盒,Jiǎngpái Hé / Jéungpáai Hahp,0
Sprinklotad,6,,Used to water Berry plants.,,ハスボーじょうろ,Hassboh Jōro,Nénurrosoir,Loturzelkanne,Irrigalotad,Lotadgadera,연꽃몬물뿌리개,Yeonkkotmon Mulppurigae,蓮葉童子噴壺 / 莲叶童子喷壶,Liányètóngzǐ Pēnhú / Lìhnyihptùhngjí Panwùh,0
Pearl,2,,Can be sold for 3750.,,しんじゅ,Shinju,Perle,Perle,Perla,Perla,진주,Jinju,珍珠,Zhēnzhū / Jānjyū,0
Holo Caster,6,,Allows the player to view hologram clips and communicate with others.,,ホロキャスター,Holo Caster,Holokit,Holo-Log,Holovox,Holomisor,홀로캐시터,Holo Caster,"全像投影通訊器*
全息影像通讯器","Quánxiàng Tóuyǐng Tōngxùn Qì / Chyùhnjeuhng Tàuhyíng Tūngseun Hei*
Quánxī Yǐngxiàng Tōngxùn Qì",3
X Defend 2,5,,Sharply raises a Pokémon's Defense. Wonder Launcher only.,,,,,,,,,,,,0
Houndoominite,6,,Allows Houndoom to Mega Evolve into Mega Houndoom.,,ヘルガナイト,Hellganite,Démolossite,Hundemonit,Houndoomite,Houndoomita,헬가나이트,Helganite,黑魯加進化石 / 黑鲁加进化石,Hēilǔjiā Jìnhuà Shí / Hāklóuhgā Jeunfa Sehk,0
Red Petal,7,,A red petal required to complete Mina's Trial.,,あかのはなびら,Aka no Hanabira,Pétale Rouge,Rotes Blatt,Petalo rosso,Pétalo Rojo,빨강꽃잎,Ppalgang Kkochip,紅色花瓣 / 红色花瓣,Hóng-sè Huābàn / Hùhng-sīk Fāfáan,0
Fighting Memory,7,,Makes Silvally a Fighting-type Pokémon and makes Multi-Attack a Fighting-type move.,,ファイトメモリ,Fight Memory,ROM Combat,Kampf-Disc,ROM Lotta,Disco Lucha,파이팅메모리,Fighting Memory,"戰鬥記憶碟*
战斗存储碟","Zhàndòu Jìyìdié / Jindau Geiyīkdihp*
Zhàndòu Cúnchǔdié",3
Protective Pads,7,,Protects the holder from effects caused by using moves that make contact with the target.,,ぼうごパット,Bōgo Pad,Pare-Effet,Schutzpolster,Smorzaurti,Paracontacto,방호패드,Bangho Pad,部位護具 / 部位护具,Bùwèi Hùjù / Bouhwaih Wuhgeuih,0
Power Weight,4,,"Promotes HP EVs, but lowers Speed in battle.",,パワーウエイト,Power Weight,Poids Pouvoir,Machtgewicht,Vigorpeso,Pesa Recia,파워웨이트,Power Weight,力量負重 / 力量负重,Lìliàng Fùzhòng / Lihkleuhng Fuhchúhng,128
Lum Berry,3,,Cures any status condition.,,ラムのみ,Ramu no Mi,Baie Prine,Prunusbeere,Baccaprugna,Baya Ziuela,리샘열매,Risaem Yeolmae,木子果,Mùzi Guǒ / Muhkjí Gwó,0
Roto Stealth,,,,,かくれポン,Kakure Pon,Moti-Camouflage,Schutzbon,Repelle'n'roll,Cupón Sigilo, ???, ???,隱身碰碰 / 隐身碰碰,Yǐnshēn Pèngpèng / Yánsān Pungpung,0
Lucarionite,6,,Allows Lucario to Mega Evolve into Mega Lucario.,,ルカリオナイト,Lucarionite,Lucarite,Lucarionit,Lucarite,Lucarita,루카리오나이트,Lucarionite,路卡利歐進化石 / 路卡利欧进化石,Lùkǎlì'ōu Jìnhuà Shí / Louhkāleih'āu Jeunfa Sehk,0
Contest Pass,3,,Allows the player to enter Contests.,,コンテストパス,Contest Pass,Passe Concours ,Wettb.-Karte,Tessera Gare,Pase Concurso,콘테스트패스,Contest Pass,華麗大賽參加證 / 华丽大赛参加证,Huálì Dàsài Cānjiā Zhèng / Wàhlaih Daaihchoi Chāamgā Jing,160
Black Belt,2,,Raises the power of Fighting-type moves.,Formatted as Blackbelt in Generation II.,くろおび,Kuro Obi,Ceinture Noire,Schwarzgurt,Cinturanera,Cinturón Negro,검은띠,Geomeun Tti,黑帶 / 黑带,Hēidài / Hāakdaai,128
Bitter Berry,2,,Heals confusion.,,にがいきのみ,Nigai Kino Mi,Baie Amere,Bitterbeere,Bacca Amara,Bayamarga,쓴맛나무열매,Sseunmat Namu Yeolmae,,,0
Soul Dew,3,,Increases the power of Psychic-type and Dragon-type moves used by Latias and Latios by 20%. (Raises the Special Attack and Special Defense of Latias and Latios before Gen. VII).,,こころのしずく,Kokoro no Shizuku,Rosée Âme,Seelentau,Cuorugiada,Rocío Bondad,마음의물방울,Ma-eumui Mulbang-ul,心之水滴,Xīn-zhī Shuǐdī / Sām-jī Séuidihk,0
Roto HP Restore,,,,,ＨＰかいふくポン,HP Kaifuku Pon,Moti-Récup' PV,KP-Bon,PS'n'roll,Cupón PS, ???, ???,"ＨＰ回復碰碰 /
ＨＰ回复碰碰",HP Huífù Pèngpèng / HP Wùihfuhk Pungpung,0
Snorlium Z,7,,Allows Snorlax to upgrade Giga Impact to the special Z-Move Pulverizing Pancake.,,カビゴンＺ,Kabigon-Z,Ronflézélite,Relaxonium Z,Snorlactium Z,Snorlastal Z,잠만보Z,Jammanbo-Z,卡比獸Ｚ / 卡比兽Ｚ,Kǎbǐshòu-Z / Kábeihsau-Z,0
Dusk Stone,4,,"Can be used to evolve Misdreavus, Murkrow, Lampent, and Doublade.",,やみのいし,Yami no Ishi,Pierre Nuit,Finsterstein,Neropietra,Piedra Noche,어둠의돌,Eodumui Dol,暗之石,Àn-zhī Shí / Am-jī Sehk,0
BridgeMail M,5,,Stationary with an arched bridge print. To be held by a Pokémon for delivery.,,ブリッジメールＷ,Bridge Mail W,Lettre PontI,Brückbrief W,Mess. Merav.,C. Puente P,브리지메일W,Bridge Mail W,橋梁郵件Ｗ / 桥梁邮件Ｗ,Qiáoliáng Yóujiàn W / Kìuhlèuhng Yàuhgín W,0
X Attack 2,5,,Sharply raises a Pokémon's Attack. Wonder Launcher only.,,,,,,,,,,,,0
Marshadium Z,7,,Allows Marshadow to upgrade Spectral Thief to the special Z-Move Soul-Stealing 7-Star Strike.,,マーシャドーＺ,Marshadow-Z,Marshadozélite,Marshadownium Z,Marshadium Z,Marshastal Z,마샤도Z,Masyado-Z,瑪夏多Ｚ / 玛夏多Ｚ,Mǎxiàduō-Z / Máhahdō-Z,0
X Sp. Def 2,5,,Sharply raises a Pokémon's Special Defense. Wonder Launcher only.,,,,,,,,,,,,0
Fire Memory,7,,Makes Silvally a Fire-type Pokémon and makes Multi-Attack a Fire-type move.,,ファイヤーメモリ,Fire Memory,ROM Feu,Feuer-Disc,ROM Fuoco,Disco Fuego,파이어메모리,Fire Memory,"火焰記憶碟*
火焰存储碟","Huǒyàn Jìyìdié / Fóyihm Geiyīkdihp*
Huǒyàn Cúnchǔdié",3
X Defend 3,5,,Drastically raises a Pokémon's Defense. Wonder Launcher only.,,,,,,,,,,,,0
Voice Case 4,3,,Apparently heals a Wobbuffet in Agate Village.,,こえカプセル４,Koe Capsule 4,Boite Cri 4,Stimmbox 4,Disco Verso 4,Grabación 4,,,,,0
Swampertite,6,,Allows Swampert to Mega Evolve into Mega Swampert.,,ラグラージナイト,Laglargenite,Laggronite,Sumpexnit,Swampertite,Swampertita,대짱이나이트,Daejjanginite,巨沼怪進化石 / 巨沼怪进化石,Jùzhǎoguài Jìnhuà Shí / Geuihjíugwaai Jeunfa Sehk,0
Max Repel,1,,Prevents wild Pokémon with a lower level than the first member of the party from appearing for 250 steps,,ゴールドスプレー,Gold Spray,Max Repousse,Top-Schutz,Repellente Max,Repelente Maximo,골드스프레이,Gold Spray,黃金噴霧 / 黄金喷雾,Huángjīn Pēnwù / Wòhnggām Panmouh,48
Blue Shard,3,,Exchangeable for a variety of services.,,あおいかけら,Aoi Kakera,Tesson Bleu,Indigostück,Coccio Blu,Parte Azul,파랑조각,Parang Jogak,藍色碎片 / 蓝色碎片,Lánsè Suìpiàn / Làahmsīk Seuipin,0
Tapunium Z,7,,Allows the guardian deities to upgrade Nature's Madness to the special Z-Move Guardian of Alola.,,カプＺ,Kapu-Z,Tokozélite,Kapium Z,Tapium Z,Tapistal Z,카푸Z,Kapu-Z,卡璞Ｚ,Kǎpú-Z / Kāpok-Z,0
Secret Key,4,,Allows access to the secret room within the Galactic Veilstone Building.,,ひみつのカギ,Himitsu no Kagi,Clé Secrète, ?-Öffner,Chiave Segreta,Ll. Secreta,비밀의열쇠,Bimirui Yeolsoe,秘密鑰匙 / 秘密钥匙,Mìmì Yàoshi / Beimaht Yeuhksìh,0
Super Rod,1,,Can be used next to or while Surfing on water to encounter high-level wild aquatic Pokémon.,,すごいつりざお,Sugoi Tsurizao,Mega Canne,Superangel,Super Amo,Supercaña,대단한낚싯대,Daedanhan Naksitdae,厲害釣竿 / 厉害钓竿,Lìhài Diàogān / Laihhoih Diugōn,16
Shock Drive,5,,Makes Techno Blast an Electric-type move when held by Genesect.,,イナズマカセット,Inazuma Cassette,Module Choc,Blitzmodul,Voltmodulo,FulgoROM,번개카세트,Beongae Cassette,閃電卡帶 / 闪电卡带,Shǎndiàn Kǎdài / Símdihn Kāatdáai,0
Rainbow Wing,2,,Summons Ho-Oh.,,にじいろのはね,Nijiiro no Hane,Arcenci'Aile,Buntschwinge,Ala d'Iride,Ala Arcoíris,무지개빛날개,Mujigaebit Nalgae,虹色之羽,Hóng-sè-zhī Yǔ / Hùhng-sīk-jī Yúh,0
Rich Mulch,6,,"When applied to a Berry patch, increases the final Berry harvest by 2 Berries.",,たわわこやし,Tawawa Koyashi,Fertibondance,Sprießmulch,Fertilflorido,Abono Fértil,주렁주렁비료,Jureong-jureong Biryo,碩果肥 / 硕果肥,Shuòguǒ Féi / Sehkgwó Fèih,0
Red Scale,2,,Give to Mr. Pokémon for an Exp. Share.,,あかいウロコ,Akai Uroko,Écaillerouge,Rote Haut,Squama Rossa,Escama Roja,빨간비늘,Ppalgan Bineul,紅色鱗片 / 红色鳞片,Hóng-sè Línpiàn / Hùhng-sīk Lèuhnpin,0
Enigmatic Card,7,,Allows the player to enter Looker and Anabel's motel room on Route 8.,,あやしいカード,Ayashī Card,Message Mystère,Seltsame Karte,Lettera segreta,Nota Intrigante,괴상한카드,Goesanghan Card,奇異卡片 / 奇异卡片,Qíyì Kǎpiàn / Kèihyih Kāatpín,0
Armor Fossil,4,,A Fossil from which a Shieldon can be resurrected.,,たてのカセキ,Tate no Kaseki,Fossile Armure,Panzerfossil,Fossilscudo,Fósil Coraza,방패의화석,Bangpae-ui Hwaseok,盾甲化石,Dùnjiǎ Huàshí / Téuhngaap Fasehk,128
Surfboard,1,,"An item that can be used to travel on water, much like using the hidden move Surf. Unobtainable during normal gameplay.",,,,,,,,,,,,0
Leppa Berry,3,,Restores 10 PP.,,ヒメリのみ,Himeri no Mi,Baie Mepo,Jonagobeere,Baccamela,Baya Zanama,과사열매,Gwasa Yeolmae,蘋野果 / 苹野果,Píngyě Guǒ / Pìhngyéh Gwó,0
Big Nugget,5,,Can be sold for 30000.,,でかいきんのたま,Dekai Kin no Tama,Maxi Pépite,Riesennugget,Granpepita,Maxipepita,큰금구슬,Keun Geum Guseul,巨大金珠,Jùdà Jīnzhū / Geuihdaaih Gāmjyū,0
Tamato Berry,3,,"Raises friendship, but lowers Speed EVs.",,マトマのみ,Matoma no Mi,Baie Tamato,Tamotbeere,Baccamodoro,Baya Tamate,토망열매,Tomang Yeolmae,茄番果,Qiéfān Guǒ / Kéfāan Gwó,0
Fashion Case,4,,Stores Accessories.,,アクセサリーいれ,Accessory Ire,Coffret Mode,Modekoffer,Scatola Chic,Caja Corazón,액세서리상자,Accessory Sangja,飾品盒 / 饰品盒,Shìpǐn Hé / Sīkbán Hahp,0
X Special 6,5,,Immensely raises a Pokémon's Special Attack. Wonder Launcher only.,,,,,,,,,,,,0
DNA Sample,3,,Used to deduce the code to a lock in the Shadow PKMN Lab.,,ＤＮＡサンプル,DNA Sample,Echantillon ADN,DNS-Probe,Campione DNA,Muestra ADN,,,,,0
Ultra Ball,1,,A Poké Ball with a high capture rate.,,ハイパーボール,Hyper Ball,Hyper Ball,Hyperball,Ultra Ball,Ultraball,하이퍼볼,Hyper Ball,高級球 / 高级球,Gāojí Qiú / Gōukāp Kàuh,16
Rare Candy,1,,Instantly raises a Pokémon's level by 1.,,ふしぎなアメ,Fushigina Ame,Super Bonbon,Sonderbonbon,Caramella Rara,Carameloraro,이상한사탕,Isanghan Satang,神奇糖果,Shénqí Tángguǒ / Sàhnkèih Tòhnggwó,0
Icicle Plate,4,,Raises the power of Ice-type moves.,,つららのプレート,Tsurara no Purēto,Plaque Glace,Frosttafel,Lastragelo,Tabla Helada,고드름플레이트,Godeureum Plate,冰柱石板,Bīngzhù Shíbǎn / Bīngchyúh Sehkbáan,0
Pikanium Z,7,,Allows Pikachu to upgrade Volt Tackle to the special Z-Move Catastropika.,,ピカチュウＺ,Pikachu-Z,Pikazélite,Pikachium Z,Pikacium Z,Pikastal Z,피카츄Z,Pikachu-Z,皮卡丘Ｚ,Píkǎqiū-Z / Pèihkāyāu-Z,0
Meadow Plate,4,,Raises the power of Grass-type moves.,,みどりのプレート,Midori no Purēto,Plaque Herbe,Wiesentafel,Lastraprato,Tabla Pradal,초록플레이트,Chorok Plate,碧綠石板 / 碧绿石板,Bìlǜ Shíbǎn / Bīkluhk Sehkbáan,0
Love Ball,2,,A type of Poké Ball that works better on Pokémon of the opposite gender.,,ラブラブボール,Love-Love Ball,Love Ball,Sympaball,Love Ball,Amor Ball,러브러브볼,Love-Love Ball,甜蜜球,Tiánmì Qiú / Tìhmmaht Kàuh,0
Mystery Egg,2,,Hatches into Togepi.,,ふしぎなタマゴ,Fushigina Tamago,Œuf Mystère,Rätsel-Ei,Uovo Mistero,Huevo Mist,이상한알,Isanghan Al,神奇蛋,Shénqí Dàn / Sàhnkèih Dáan,0
Assault Vest,6,,Raises Sp. Def but prevents the use of status moves.,,とつげきチョッキ,Totsugeki Chokki,Veste de Combat,Offensivweste,Corpetto Assalto,Chaleco Asalto,돌격조끼,Dolgyeok Jokki,突擊背心 / 突击背心,Tújí Bèixīn / Dahtgīk Buisām,0
Mega Cuff,,,,,メガブレス,Mega Brace,Méga-Manchette,Mega-Armbänder,Megapolsiera,Megabrazalete,메가블레스,Mega Brace,超級護腕 / 超级护腕,Chāojí Hùwàn / Chīukāp Wuhwún,0
Roto Exp. Points,,,,,けいけんポン,Keiken Pon,Molti-Exp,EP-Bon,Esp'n'roll,Cupón Exp, ???, ???,經驗碰碰 / 经验碰碰,Jīngyàn Pèngpèng / Gīngyihm Pungpung,0
Xtransceiver,5,,Used to make video calls to other players. Also used by in-game Trainers to advance the story.,,ライブキャスター,Live Caster,Vokit,Viso-Caster,Interpoké,Videomisor,라이브캐스터,Live Caster,即時通訊器 / 即时通讯器,Jíshí Tōngxùn Qì / Jīksìh Tūngseun Hei,0
Muscle Band,4,,Raises the power of physical moves.,,ちからのハチマキ,Chikara no Hachimaki,Bandeau Muscle,Muskelband,Muscolbanda,Cinta Fuerte,힘의머리띠,Himui Meoritti,力量頭帶 / 力量头带,Lìliàng Tóudài / Lihkleuhng Tàuhdaai,128
Toxic Orb,4,,Inflicts the Badly poisoned status on the holder.,,どくどくだま,Dokudoku Dama,Orbe Toxique,Toxik-Orb,Tossicsfera,Toxisfera,맹독구슬,Maengdok Guseul,劇毒寶珠 / 剧毒宝珠,Jùdú Bǎozhū / Kehkduhk Bóujyū,0
Gardevoirite,6,,Allows Gardevoir to Mega Evolve into Mega Gardevoir.,,サーナイトナイト,Sirknightnite,Gardevoirite,Guardevoirnit,Gardevoirite,Gardevoirita,가디안나이트,Gadiannite,沙奈朵進化石 / 沙奈朵进化石,Shānàiduǒ Jìnhuà Shí / Sānoihdó Jeunfa Sehk,0
Devon Scuba Gear,6,,Worn while underwater.,,デボンボンベ,Devon Bombe,Plongeur Devon,Devon-Atemgerät,Maschera Devon,Bombona Devon,데봉봄베,Devon Bombe,得文潛水裝備 / 得文潜水装备,Déwén Qiánshuǐ Zhuāngbèi / Dākmàhn Chìhmséui Jōngbeih,0
Roto Hatch,,,,,タマゴふかポン,Tamago fuka Pon,Moti-Couveuse,Brutbon,Cova'n'roll,Cupón Eclosión, ???, ???,孵蛋碰碰,Fūdàn Pèngpèng / Fūdaahn Pungpung,0
Antidote,1,,Heals the poisoning of a Pokémon.,,どくけし,Dokukeshi,Antidote,Gegengift,Antidoto,Antídoto,해독제,Haedokje,解毒藥 / 解毒药,Jiědúyào / Gáaiduhkyeuhk,0
Glitter Mail,3,,Mail with a Pikachu pattern.,,キラキラメール,Kira Kira Mail,Lettre Brill,Glitzerbrief,Mess. Luci,Carta Brillo,,,,,0
Awakening,1,,Awakens a sleeping Pokémon.,,ねむけざまし,Nemuke Zamashi,Reveil,Aufwecker,Sveglia,Despertar,잠깨는약,Jam Kkaeneun Yak,解眠藥 / 解眠药,Jiěmiányào / Gáaimìhnyeuhk,0
Stick,2,,Raises Farfetch'd's critical hit ratio.,,ながねぎ,Naganegi,Baton,Lauchstange,Gambo,Palo,대파,Daepa,大蔥 / 大葱,Dàcōng / Daaihchūng,0
Dragon Gem,5,,"Increases the power of the holder's first Dragon-type move by 50%, and is consumed after use.",,ドラゴンジュエル,Dragon Jewel,Joyau Dragon,Drakojuwel,Bijoudrago,Gema Dragón,드래곤주얼,Dragon Jueol,龍之寶石 / 龙之宝石,Lóng-zhī Bǎoshí / Lùhng-jī Bóusehk,16
Heracronite,6,,Allows Heracross to Mega Evolve into Mega Heracross.,,ヘラクロスナイト,Heracrosnite,Scarhinoïte,Skarabornit,Heracrossite,Heracrossita,헤라크로스나이트,Heracrossnite,赫拉剋羅斯進化石 / 赫拉克罗斯进化石,Hèlākèluósī Jìnhuà Shí / Hāklāaihāklòhsī Jeunfa Sehk,0
Tyranitarite,6,,Allows Tyranitar to Mega Evolve into Mega Tyranitar.,,バンギラスナイト,Bangirasnite,Tyranocivite,Despotarnit,Tyranitarite,Tyranitarita,마기라스나이트,Magirasnite,班基拉斯進化石 / 班基拉斯进化石,Bānjīlāsī Jìnhuà Shí / Bāangēilāaisī Jeunfa Sehk,0
Colbur Berry,4,,Reduces damage from a super effective Dark-type move by 50%.,,ナモのみ,Namo no Mi,Baie Lampou,Burleobeere,Baccaxan,Baya Dillo,마코열매,Mako Yeolmae,刺耳果,Cì'ěr Guǒ / Chiyíh Gwó,0
