Name,Gen,Description,English,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
Cameruptite,VI,Allows Camerupt to Mega Evolve into Mega Camerupt.,Lucky Egg,しあわせタマゴ,Shiawase Tamago,Œuf Chance,Glücks-Ei,Fortunuovo,Huevo Suerte,행복의알,Haengbogui Al,幸運蛋 / 幸运蛋,Xìngyùn Dàn / Hahngwahn Daahn
Carbos,I,Raises the Speed of a Pokémon.,Scope Lens,ピントレンズ,Pint Lens,Lentilscope,Scope-Linse,Mirino,Periscopio,초점렌즈,Chojeom Lens,焦點鏡 / 焦点镜,Jiāodiǎn Jìng / Jīudím Geng
Card Key,I,Allows the player to access more rooms in the Silph Co. headquarters.,Metal Coat,メタルコート,Metal Coat,Peau Metal,Metallmantel,Metalcoperta,Revest. Metálico*,금속코트,Geumsok Coat,金屬膜 / 金属膜,Jīnshǔ Mó / Gāmsuhk Mohk
Card Key,II,Allows the player to access the third floor of Radio Tower while it is under siege by Team Rocket.,Leftovers,たべのこし,Tabe Nokoshi,Restes,Überreste,Avanzi,Restos,먹다남은음식,Meokda Nameun Eumsik,吃剩的東西 / 吃剩的东西,Chīshèng-de Dōngxī / Heksihng-dīk Dūngsāi
Card Key,III,Allows the player to access the east wing of the Shadow PKMN Lab.,Dragon Scale,りゅうのウロコ,Ryū no Uroko,Écaille Draco*,Drachenhaut,Squama Drago,Escamadragón,용의비늘,Yong-ui Bineul,龍之鱗片 / 龙之鳞片,Lóng zhī línpiàn / Lùhng-jī Lèuhnpin
Casteliacone,V,Cures any status condition.,Light Ball,でんきだま,Denki Dama,Ballelumiere,Kugelblitz,Elettropalla,Bolaluminosa,전기구슬,Jeon-gi Guseul,電氣球 / 电气球,Diàn Qìqiú / Dihn Heikàuh
Cell Battery,V,Raises the holder's Attack one stage when hit with an Electric-type attack. Consumed after use.,Soft Sand,やわらかいすな,Yawarakai Suna,Sable Doux,Pudersand,Sabbia Soffice*,Arena Fina,부드러운모래,Budeureoun Morae,柔軟沙子 / 柔软沙子,Róuruǎn Shāzi / Yàuhyúhn Sājí
Charcoal,II,Raises the power of Fire-type moves.,Hard Stone,かたいいし,Katai Ishi,Pierre Dure,Granitstein,Pietradura,Piedra Dura,딱딱한돌,Ttakttakhan Dol,硬石頭 / 硬石头,Yìng Shítou / Ngaahng Sehktàuh
Charizardite X,VI,Allows Charizard to Mega Evolve into Mega Charizard X.,Miracle Seed,きせきのタネ,Kiseki no Tane,Grain Miracle*,Wundersaat,Miracolseme,Semilla Milagro,기적의씨,Gijeogui Ssi,奇跡種子 / 奇迹种子,Qíjī Zhǒngzǐ / Kèihjīk Júngjí
Charizardite Y,VI,Allows Charizard to Mega Evolve into Mega Charizard Y.,Black Glasses*,くろいメガネ,Kuroi Megane,Lunettes Noires*,Schattenglas,Occhialineri,Gafas de Sol,검은안경,Geomeun An-gyeong,黑色眼鏡 / 黑色眼镜,Hēi-sè Yǎnjìng / Hāak-sīk Ngáahngeng
Charti Berry,IV,Reduces damage from a super effective Rock-type move by 50%.,Black Belt,くろおび,Kuro Obi,Ceinture Noire*,Schwarzgurt,Cinturanera,Cinturón Negro,검은띠,Geomeun Tti,黑帶 / 黑带,Hēidài / Hāakdaai
Cheri Berry,III,Heals paralysis.,Magnet,じしゃく,Jishaku,Aimant,Magnet,Calamita,Imán,자석,Jaseok,磁鐵 / 磁铁,Cítiě / Chìhtit
Cherish Ball,IV,A special type of Poké Ball in which event Pokémon are usually distributed.,Mystic Water,しんぴのしずく,Shinpi no Shizuku,Eau Mystique,Zauberwasser,Acqua Magica*,Agua Mística,신비의물방울,Sinbiui Mulbang-ul,神秘水滴,Shénmì shuǐdī / Sàhnbei Séuidihk
Chesto Berry,III,Awakens a Pokémon from sleep.,Sharp Beak,するどいくちばし,Surudoi Kuchibashi,Bec Pointu,Hackattack,Beccaffilato,Pico Afilado,예리한부리,Yerihan Buri,銳利鳥嘴 / 锐利鸟嘴,Ruìlì Niǎozuǐ / Yeuihleih Níuhjéui
Chilan Berry,III,Pokéblock ingredient.,Poison Barb,どくバリ,Doku Bari,Pic Venin,Giftstich,Velenaculeo,Flecha Venenosa,독바늘,Dokbaneul,毒針 / 毒针,Dúzhēn / Duhkjām
Chilan Berry,IV,Reduces damage from a Normal-type move by 50%.,Never-Melt Ice*,とけないこおり,Tokenai Kōri,Glace Éternelle*,Ewiges Eis,Gelomai,Antiderretir,녹지않는얼음,Nokji Anneun Eoreum,不融冰,Bù Róng Bīng / Bāt Yùhng Bīng
Chill Drive,V,Makes Techno Blast an Ice-type move when held by Genesect.,Spell Tag,のろいのおふだ,Noroi no Ofuda,Rune Sort,Bannsticker,Spettrotarga,Hechizo,저주의부적,Jeojuui Bujeok,詛咒之符 / 诅咒之符,Zǔzhòu-zhī Fú / Jojau-jī Fùh
Chople Berry,IV,Reduces damage from a super effective Fighting-type move by 50%.,Twisted Spoon*,まがったスプーン,Magatta Spoon,Cuiller Tordue*,Krümmlöffel,Cucchiaio Torto*,Cuchara Torcida,휘어진스푼,Hwieojin Spoon,彎曲的湯匙 / 弯曲的汤匙,Wānqū-de Tāngchí / Wāankūk-dīk Tōngchìh
Choice Band,III,"Raises user's Attack, but they can only use one move.",Charcoal,もくたん,Mokutan,Charbon,Holzkohle,Carbonella,Carbón,목탄,Moktan,木炭,Mùtàn / Muhktaan
Choice Scarf,IV,"Raises user's Speed, but they can only use one move.",Dragon Fang,りゅうのキバ,Ryū no Kiba,Croc Dragon,Drachenzahn,Dentedidrago,Colmillo Dragón*,용의이빨,Yong-ui Ippal,龍之牙 / 龙之牙,Lóng-zhī Yá / Lùhng-jī Ngàh
Choice Specs,IV,"Raises user's Special Attack, but they can only use one move.",Pink Bow,ピンクのリボン,Pink no Ribbon,Ruban Rose,Rosa Band,Fiocco Rosa,Lazo Rosa,핑크빛리본,Pink-bit Ribon,—,—
Claw Fossil,III,A Fossil from which an Anorith can be resurrected.,Polkadot Bow,みずたまりボン,Mizutama Ribbon,Ruban à Pois,Punkt-Band,Fiocco Pois,Cintalunares,물방울리본,Mulbang-ul Ribon,—,—
Cleanse Tag,III,Repels Pokémon if the holder is first in the party.,Up-Grade,アップグレード,Upgrade,Améliorator,Up-Grade,Upgrade,Mejora,업그레이드,Upgrade,"升級資料*
升级数据*","Shēngjí Zīliào / Sīngkāp Jīlíu*
Shēngjí Shùjù*"
Clear Bell,II,Summons SuicuneC or Ho-OhHGOR.,Lucky Punch,ラッキーパンチ,Lucky Punch,Poing Chance,Lucky Punch,Fortunpugno,Puño Suerte,럭키펀치,Lucky Punch,吉利拳,Jílì Quán / Gātleih Kyùhn
Clever Wing,V,Raises the Special Defense of a Pokémon.,Metal Powder,メタルパウダー,Metal Powder,Poudre Metal,Metallstaub,Metalpolvere,Polvo Metálico,금속파우더,Geumsok Powder,金屬粉 / 金属粉,Jīnshǔ Fěn / Gāmsuhk Fán
Coba Berry,IV,Reduces damage from a super effective Flying-type move by 50%.,Thick Club,ふといホネ,Futoi Hone,Masse Os,Kampfknochen,Ossospesso,Hueso Grueso,굵은뼈,Gulgeun Ppyeo,粗骨頭 / 粗骨头,Cū Gǔtou / Chōu Gwāttàuh
Coin Case,I-IV,A Key Item that stores the coins collected at the local Game Corner.,Stick,ながねぎ,Naganegi,Baton,Lauchstange,Gambo,Palo,대파,Daepa,大蔥 / 大葱,Dàcōng / Daaihchūng
Colbur Berry,IV,Reduces damage from a super effective Dark-type move by 50%.,Berserk Gene,はかいのいでんし,Hakai no Idenshi,ADN Berzerk,Berserk-Gen,Gene Furioso,Gen Loco,파괴의유전자,Pagoe-ui Yujeonja,—,—
Cologne Case,III,Holds Scents.,,,,,,,,,,,
Colress Machine,V,"A special device that wrings out the potential of Pokémon. It is an imperfect prototype.
Note: Formatted as Colress MCHN prior to Generation VI.",White Herb,しろいハーブ,Shiroi Herb,Herbe Blanche*,Schlohkraut,Erbachiara,Hierba Blanca*,하양허브,Hayang Herb,白色香草,Bái-sè Xiāngcǎo / Baahk-sīk Hēungchóu
Comet Shard,V,Can be sold for 60000.,Macho Brace,きょうせいギプス,Kyōsei Gips,Bracelet Macho*,Machoband,Crescicappa,Brazal Firme*,교정깁스,Gyojeong Gips,強制鍛鍊器 / 强制锻炼器,Qiángzhì Duànliànqì / Kèuhngjai Dyunlihnhei
Common Stone,VI,Not available without cheating. Currently has no use.,Soothe Bell,やすらぎのすず,Yasuragi no Suzu,Grelot Zen,Sanftglocke,Calmanella,Campana Alivio,평온의방울,Pyeong'on-ui Bang-ul,安撫之鈴 / 安抚之铃,Ānfǔ-zhī Líng / Ōnfú-jī Lìhng
Contest Costume,VI,Worn during Pokémon Contest Spectacular performances.,Mental Herb,メンタルハーブ,Mental Herb,Herbe Mental,Mentalkraut,Mentalerba,Hierba Mental*,멘탈허브,Mental Herb,心靈香草 / 心灵香草,Xīnlíng Xiāngcǎo / Sāmlìhng Hēungchóu
Contest Pass,III,Allows the player to enter Contests.,Choice Band,こだわりハチマキ,Kodawari Hachimaki,Bandeau Choix*,Wahlband,Bendascelta,Cinta Elegida*,구애머리띠,Guae Meoritti,講究頭帶 / 讲究头带,Jiǎngjiù Tóudài / Gónggau Tàuhdaai
Cornn Berry,III,Poffin and Pokéblock ingredient.,Soul Dew,こころのしずく,Kokoro no Shizuku,Rosée Âme,Seelentau,Cuorugiada,Rocío Bondad,마음의물방울,Ma-eumui Mulbang-ul,心之水滴,Xīn-zhī Shuǐdī / Sām-jī Séuidihk
Coupon 1,IV,Used to obtain the Pokétch in Jubilife City.,Deep Sea Tooth*,しんかいのキバ,Shinkai no Kiba,Dent Océan,Abysszahn,Dente Abissi*,Diente Marino,심해의이빨,Simhae-ui Ippal,深海之牙,Shēnhǎi-zhī Yá / Sāmhói-jī Ngàh
Coupon 2,IV,Used to obtain the Pokétch in Jubilife City.,Deep Sea Scale*,しんかいのウロコ,Shinkai no Uroko,Écaille Océan*,Abyssplatte,Squamabissi,Escama Marina,심해의비늘,Simhae-ui Bineul,深海鱗片 / 深海鳞片,Shēnhǎi Línpiàn / Sāmhói Lèuhnpin
Coupon 3,IV,Used to obtain the Pokétch in Jubilife City.,Silk Scarf,シルクのスカーフ,Silk no Scarf,Mouchoir Soie*,Seidenschal,Sciarpa Seta*,Pañuelo Seda,실크스카프,Silk Scarf,絲綢圍巾 / 丝绸围巾,Sīchóu Wéijīn / Sīchàuh Wàihgān
Cover Fossil,V,A Fossil from which a Tirtouga can be resurrected.,Shell Bell,かいがらのすず,Kaigara no Suzu,Grelot Coque,Seegesang,Conchinella,Campana Concha,조개껍질방울,Jogaekkeopjil Bang-ul,貝殼之鈴 / 贝壳之铃,Bèiké-zhī Líng / Buihok-jī Lìhng
Cry Analyzer,III,Detaches certain translators.,Sea Incense,うしおのおこう,Ushio no Okou,Encens Mer,Seerauch,Marearoma,Incienso marino*,바닷물향로,Badasmul Hyangno,海潮薰香,Hǎicháo Xūnxiāng / Hóichìuh Fānhēung
Custap Berry,IV,Allows holder to move first just once when HP is below ⅓.,Lax Incense,のんきのおこう,Nonki no Okou,Encens Doux,Laxrauch,Distraroma,Incienso suave*,무사태평향로,Musataepyeong Hyangno,悠閒薰香 / 悠闲薰香,Yōuxián Xūnxiāng / Yàuhhàahn Fānhēung
,,,Red Scarf,あかいバンダナ,Akai Bandana,Foul. Rouge,Roter Schal,Fascia Rossa,Pañuelo Rojo,빨강밴드,Ppalgang Band,紅色頭巾 / 红色头巾,Hóng-sè Tóujīn / Hùhng-sīk Tàuhgān
,,,Blue Scarf,あおいバンダナ,Aoi Bandanna,Foul. Bleu,Blauer Schal,Fascia Blu,Pañuelo Azul,파랑밴드,Parang Band,藍色頭巾 / 蓝色头巾,Lán-sè Tóujīn / Làahm-sīk Tàuhgān
Damp Mulch,IV,"Causes the soil to dry out more slowly, but also causes the Berry plant to grow more slowly.",Pink Scarf,ピンクのバンダナ,Pink no Bandana,Foul. Rose,Rosa Schal,Fascia Rosa,Pañuelo Rosa,분홍밴드,Bunhong Band,粉紅頭巾 / 粉红头巾,Fěnhóng Tóujīn / Fánhùhng Tàuhgān
Damp Rock,IV,Increases the duration of heavy rain.,Green Scarf,みどりのバンダナ,Midori no Bandana,Foul. Vert,Grüner Schal,Fascia Verde,Pañuelo Verde,초록밴드,Chorok Band,綠色頭巾 / 绿色头巾,Lǜ-sè Tóujīn / Luhk-sīk Tàuhgān
Dark Gem,V,"Increases the power of the holder's first Dark-type move by 50%, and is consumed after use.",Yellow Scarf,きいろのバンダナ,Kiiro no Bandana,Foul. Jaune,Gelber Schal,Fascia Gialla,Pañuelo Amarillo,노랑밴드,Norang Band,黃色頭巾 / 黄色头巾,Huáng-sè Tóujīn / Wòhng-sīk Tàuhgān
Dark Memory,VII,Makes Silvally a Dark-type Pokémon and makes Multi-Attack a Dark-type move.,Red Orb,べにいろのたま,Beniiro no Tama,Gemme Rouge*,Roter Edelstein*,Gemma rossa*,Prisma Roja*,주홍구슬,Juhong Guseul,朱紅色寶珠 / 朱红色宝珠,Zhūhóng-sè Bǎozhū / Jyūhùhng-sīk Bóujyū
Darkinium Z,VII,Allows a Pokémon to upgrade their Dark-type damaging moves to the Z-Move Black Hole Eclipse or upgrade their Dark-type status moves into Z-Moves. Makes Arceus a Dark-type Pokémon.,Blue Orb,あいいろのたま,Aiiro no Tama,Gemme Bleue*,Blauer Edelstein*,Gemma blu*,Prisma Azul*,쪽빛구슬,Jjokbit Guseul,靛藍色寶珠 / 靛蓝色宝珠,Diànlán-sè Bǎozhū / Dihnlàahm-sīk Bóujyū
Dark Stone,V,Stone used to summon Zekrom.,,,,,,,,,,,
Data ROM,III,Holds data on Shadow Pokémon.,Flame Plate,ひのたまプレート,Hi no Tama Purēto,Plaque Flam,Feuertafel,Lastrarogo,Tabla Llama,불구슬플레이트,Bulguseul Plate,火球石板,Huǒqiú Shíbǎn / Fókàuh Sehkbáan
Dawn Stone,IV,Allows Kirlia (♂) and Snorunt (♀) to evolve.,Splash Plate,しずくプレート,Shizuku Purēto,Plaque Hydro,Wassertafel,Lastraidro,Tabla Linfa,물방울플레이트,Mulbang-ul Plate,水滴石板,Shuǐdī Shíbǎn / Séuidihk Sehkbáan
D-Disk,III,Moves the UFO in The Under downward into Deep Colosseum.,Zap Plate,いかずちプレート,Ikazuchi Purēto,Plaque Volt,Blitztafel,Lastrasaetta,Tabla Trueno,우뢰플레이트,Uroe Plate,雷電石板 / 雷电石板,Léidiàn Shíbǎn / Lèuihdihn Sehkbáan
Decidium Z,VII,Allows Decidueye to upgrade Spirit Shackle to the special Z-Move Sinister Arrow Raid.,Meadow Plate,みどりのプレート,Midori no Purēto,Plaque Herbe,Wiesentafel,Lastraprato,Tabla Pradal,초록플레이트,Chorok Plate,碧綠石板 / 碧绿石板,Bìlǜ Shíbǎn / Bīkluhk Sehkbáan
Deep Sea Scale,III,"A hold item that allows Clamperl to evolve into Gorebyss when traded.
Note: Formatted as DeepSeaScale prior to Generation VI.",Icicle Plate,つららのプレート,Tsurara no Purēto,Plaque Glace,Frosttafel,Lastragelo,Tabla Helada,고드름플레이트,Godeureum Plate,冰柱石板,Bīngzhù Shíbǎn / Bīngchyúh Sehkbáan
Deep Sea Tooth,III,"A hold item that allows Clamperl to evolve into Huntail when traded.
Note: Formatted as DeepSeaTooth prior to Generation VI.",Fist Plate,こぶしのプレート,Kobushi no Purēto,Plaque Poing,Fausttafel,Lastrapugno,Tabla Fuerte,주먹플레이트,Jumeok Plate,拳頭石板 / 拳头石板,Quántóu Shíbǎn / Kyùhntàuh Sehkbáan
Destiny Knot,IV,Infatuates the foe if the holder becomes infatuated.,Toxic Plate,もうどくプレート,Moudoku Purēto,Plaque Toxic,Gifttafel,Lastrafiele,Tabla Tóxica,맹독플레이트,Maengdok Plate,劇毒石板 / 剧毒石板,Jùdú Shíbǎn / Kehkduhk Sehkbáan
Devon Parts,III,"To be delivered to Captain Stern.
Note: Called Devon Goods in Generation III.",Earth Plate,だいちのプレート,Daichi no Purēto,Plaque Terre,Erdtafel,Lastrageo,Tabla Terrax,대지플레이트,Daeji Plate,大地石板,Dàdì Shíbǎn / Daaihdeih Sehkbáan
Devon Scope,III,Reveals hidden Pokémon.,Sky Plate,あおぞらプレート,Aozora Purēto,Plaque Ciel,Wolkentafel,Lastracielo,Tabla Cielo,푸른하늘플레이트,Pureun Haneul Plate,藍天石板 / 蓝天石板,Lántiān Shíbǎn / Làahmtīn Sehkbáan
Devon Scuba Gear,VI,Worn while underwater.,Mind Plate,ふしぎのプレート,Fushigi no Purēto,Plaque Esprit,Hirntafel,Lastramente,Tabla Mental,이상한플레이트,Isanghan Plate,神奇石板,Shénqí Shíbǎn / Sàhnkèih Sehkbáan
Diancite,VI,Allows Diancie to Mega Evolve into Mega Diancie.,Insect Plate,たまむしプレート,Tamamushi Purēto,Plaquinsect,Käfertafel,Lastrabaco,Tabla Bicho,비단벌레플레이트,Bidanbeolle Plate,玉蟲石板 / 玉虫石板,Yùchóng Shíbǎn / Yuhkchùhng Sehkbáan
Dire Hit,I,Raises critical hit ratio in battle.,Stone Plate,がんせきプレート,Ganseki Purēto,Plaque Roc,Steintafel,Lastrapietra,Tabla Pétrea,암석플레이트,Amseok Plate,岩石石板,Yánshí Shíbǎn / Ngàahmsehk Sehkbáan
Dire Hit 2,V,Raises critical hit ratio by 2 levels in battle. Wonder Launcher only.,Spooky Plate,もののけプレート,Mononoke Purēto,Plaque Fantô,Spuktafel,Lastratetra,Tabla Terror,원령플레이트,Wollyeong Plate,妖怪石板,Yāoguài Shíbǎn / Yīugwaai Sehkbáan
Dire Hit 3,V,Raises critical hit ratio by 3 levels in battle. Wonder Launcher only.,Draco Plate,りゅうのプレート,Ryuu no Purēto,Plaque Draco,Dracotafel,Lastradrakon,Tabla Draco,용의플레이트,Yong-ui Plate,龍之石板 / 龙之石板,Lóng-zhī Shíbǎn / Lùhng-jī Sehkbáan
Disc Case,III,Holds Battle CDs.,Dread Plate,こわもてプレート,Kowamote Purēto,Plaque Ombre,Furchttafel,Lastratimore,Tabla Oscura,공포플레이트,Gongpo Plate,惡顏石板 / 恶颜石板,È'yán Shíbǎn / Okngàahn Sehkbáan
Discount Coupon,VI,Used at any boutique for a one-time 50% discount.,Iron Plate,こうてつプレート,Koutetsu Purēto,Plaque Fer,Eisentafel,Lastraferro,Tabla Acero,강철플레이트,Gangcheol Plate,鋼鐵石板 / 钢铁石板,Gāngtiě Shíbǎn / Gongtit Sehkbáan
Dive Ball,III,A type of Poké Ball that works better on Pokémon encountered underwaterRSEORAS or while Surfing or fishingFRLGDPPtHGSSBWB2W2XY.,Odd Incense,あやしいおこう,Oyashii Okō,Encens Bizarre*,Schrägrauch,Bizzoaroma,Incienso raro*,괴상한향로,Goesanghan Hyangno,奇異薰香 / 奇异薰香,Qíyì Xūnxiāng / Kèihyih Fānhēung
DNA Sample,III,Used to deduce the code to a lock in the Shadow PKMN Lab.,Rock Incense,がんせきおこう,Ganseki Okō,Encens Roc,Steinrauch,Roccioaroma,Incienso roca*,암석향로,Amseog Hyangno,岩石薰香,Yánshí Xūnxiāng / Ngàahmsehk Fānhēung
DNA Splicers,V,"Combines and separates Kyurem with Reshiram or Zekrom, transforming them into White Kyurem or Black Kyurem, respectively.",Full Incense,まんぷくおこう,Manpuku Okō,Encens Plein,Lahmrauch,Gonfioaroma,Incienso lento*,만복향로,Manbok Hyangno,飽腹薰香 / 饱腹薰香,Bǎofù Xūnxiāng / Báaufūk Fānhēung
Dome Fossil,III,A Fossil from which a Kabuto can be resurrected.,Wave Incense,さざなみのおこう,Sazanami no Okō,Encens Vague,Wellenrauch,Ondaroma,Incienso aqua*,잔물결향로,Janmulgyeol Hyangno,漣漪薰香 / 涟漪薰香,Liányī Xūnxiāng / Lìhnyí Fānhēung
Douse Drive,V,Makes Techno Blast a Water-type move when held by Genesect.,Rose Incense,おはなのおこう,Ohana no Okō,Encens Fleur,Rosenrauch,Rosaroma,Incienso floral *,꽃향로,Kkoch Hyangno,花朵薰香,Huāduǒ Xūnxiāng / Fādó Fānhēung
Down St. Key,III,Allows the player to access the basement floor of the Shadow PKMN Lab.,Luck Incense,こううんのおこう,Kōun no Okō,Encens Veine,Glücksrauch,Fortunaroma,Incienso duplo*,행운의향로,Haeng-unui Hyangno,幸運薰香 / 幸运薰香,Xìngyùn Xūnxiāng / Hahngwahn Fānhēung
Dowsing Machine,I,"A Key Item that can be used to detect hidden items.
Note: Referred to as the Itemfinder prior to Generation IV and as the Dowsing MCHN in Pokémon HeartGold and SoulSilver and the Generation V games.",Pure Incense,きよめのおこう,Kiyome no Okō,Encens Pur,Scheuchrauch,Puroaroma,Incienso puro*,순결의향로,Sun-gyeorui Hyangno,潔淨薰香 / 洁净薰香,Jiéjìng Xūnxiāng / Gitjehng Fānhēung
Draco Plate,IV,Raises the power of Dragon-type moves.,Protector,プロテクター,Protector,Protecteur,Schützer,Copertura,Protector,프로텍터,Protector,護具 / 护具,Hùjù / Wuhgeuih
Dragon Fang,II,Raises the power of Dragon-type moves.,Electirizer,エレキブースター,Elec Booster,Électiriseur,Stromisierer,Elettritore,Electrizador,에레키부스터,Elec Booster,電力增幅器 / 电力增幅器,Diànlì Zēngfú Qì / Dihnlihk Jāngfūk Hei
Dragon Gem,V,"Increases the power of the holder's first Dragon-type move by 50%, and is consumed after use.",Magmarizer,マグマブースター,Magma Booster,Magmariseur,Magmaisierer,Magmatore,Magmatizador,마그마부스터,Magma Booster,熔岩增幅器,Róngyán Zēngfú Qì / Yùhngngàahm Jāngfūk Hei
Dragon Memory,VII,Makes Silvally a Dragon-type Pokémon and makes Multi-Attack a Dragon-type move.,Dubious Disc,あやしいパッチ,Ayashii Patch,CD Douteux,Dubiosdisc,Dubbiodisco,Discoxtraño,괴상한패치,Goesanghan Patch,可疑補丁 / 可疑补丁,Kěyí Bǔdīng / Hóyìh Bóudīng
Dragonium Z,VII,Allows a Pokémon to upgrade their Dragon-type damaging moves to the Z-Move Devastating Drake or upgrade their Dragon-type status moves into Z-Moves. Makes Arceus a Dragon-type Pokémon.,Reaper Cloth,れいかいのぬの,Reikai no Nuno,Tissu Fauche,Düsterumhang,Terrorpanno,Tela Terrible*,영계의천,Yeonggye-ui Cheon,靈界之布 / 灵界之布,Língjiè-zhī Bù / Lìhnggaai-jī Bou
Dragon Scale,II,A hold item that allows Seadra to evolve when traded.,Razor Claw,するどいツメ,Surudoi Tsume,Griffe Rasoir,Scharfklaue,Affilartigli,Garra Afilada*,예리한손톱,Yerihan Sontop,銳利之爪 / 锐利之爪,Ruìlì-zhī Zhuǎ / Yeuihleih-jī Jáau
Dragon Skull,V,Stolen from the Nacrene Museum by a Team Plasma Grunt.,Razor Fang,するどいキバ,Surudoi Kiba,Croc Rasoir,Scharfzahn,Affilodente,Colmillo Agudo*,예리한이빨,Yerihan Ippal,銳利之牙 / 锐利之牙,Ruìlì-zhī Yá / Yeuihleih-jī Ngàh
