Name,Gen,Gen2,Description,Note,NameStar,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Firium Z,7,,Allows a Pokémon to upgrade their Fire-type damaging moves to the Z-Move Inferno Overdrive or upgrade their Fire-type status moves into Z-Moves. Makes Arceus a Fire-type Pokémon.,,FALSE,ホノオＺ,Flame-Z,Pyrozélite,Pyrium Z,Pirium Z,Pirostal Z,불꽃Z,Bulkkot-Z,火Ｚ,Huǒ-Z / Fó-Z,0
Bloom Mail,4,,A flower-printed stationery. To be held by a Pokémon for delivery.,,FALSE,ブルームメール,Bloom Mail,Lett. Pétale,Blütenbrief,Mess. Petalo,Carta Flores,블룸메일,Bloom Mail,,,0
Heracronite,6,,Allows Heracross to Mega Evolve into Mega Heracross.,,FALSE,ヘラクロスナイト,Heracrosnite,Scarhinoïte,Skarabornit,Heracrossite,Heracrossita,헤라크로스나이트,Heracrossnite,赫拉剋羅斯進化石 / 赫拉克罗斯进化石,Hèlākèluósī Jìnhuà Shí / Hāklāaihāklòhsī Jeunfa Sehk,0
X Defend 6,5,,Immensely raises a Pokémon's Defense. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Small Tablet,3,,Used to activate the Relic Stone.,,FALSE,ちいさなせきばん,Chīsa na Sekiban,Ardoise,Steintafel,Tavola,Tablilla,,,,,0
Macho Brace,2,,Raises Effort values but lowers Speed.,,FALSE,きょうせいギプス,Kyōsei Gips,Bracelet Macho,Machoband,Crescicappa,Brazal Firme,교정깁스,Gyojeong Gips,強制鍛鍊器 / 强制锻炼器,Qiángzhì Duànliànqì / Kèuhngjai Dyunlihnhei,144
Heal Ball,4,,"A type of Poké Ball that heals the captured Pokémon before it is put in the player's party. If the player's party is full, it will be transferred to the Box, where it would have been healed anyway.",,FALSE,ヒールボール,Heal Ball,Soin Ball,Heilball,Cura Ball,Sana Ball,힐볼,Heal Ball,治癒球 / 治愈球,Zhìyù Qiú / Jihyuh Kàuh,0
Coupon 1,4,,Used to obtain the Pokétch in Jubilife City.,,FALSE,ひきかえけん１,Hikikaeken 1,Bon 1,Kupon 1,Coupon 1,Cupón 1,교환권 1,Gyohwangwon 1,兌換券１ / 兑换券１,Duìhuàn Quàn 1 / Deuiwuhn Hyun 1,0
Kee Berry,6,,Increases Defense when hit with a physical move.,,FALSE,アッキのみ,Akki no Mi,Baie Éka,Akibeere,Baccalighia,Baya Biglia,악키열매,Akki Yeolmae,亞開果 / 亚开果,Yàkāi Guǒ / Ahōi Gwó,0
Krane Memo 2,3,,Contains information about the Aura Reader.,,FALSE,クレインメモ２,Krane Memo 2,Memo Syrus 2,Klein-Memo 2,Appunti 2,Parte Cío 2,,,,,0
Orange Petal,7,,An orange petal required to complete Mina's Trial.,,FALSE,だいだいはなびら,Daidai Hanabira,Pétale Orange,Oranges Blatt,Petalo arancione,Pétalo Naranja,주황꽃잎,Juhwang Kkochip,橙色花瓣,Chéng-sè Huābàn / Chàahng-sīk Fāfáan,0
Mirage Mail,2,,Mail with a Mew pattern. Available only through Mystery Gift. To be held by a Pokémon for delivery.,,FALSE,まぼろしメール,Maboroshi Mail,Lettre Mirage,Trugbrief,Mess. Visione,C.Espejismo,환상의메일,Hwansang-ui Mail,,,0
X Sp. Def,2,,Raises a Pokémon's Special Defense by 2 stages (1 stage before Gen. VII).,,FALSE,スペシャルガード,Special Guard,Def. Spé. +,X-Spezial-Vert.,Dif. Sp. X,Def. Esp. X,스페셜가드,Special Guard,特防強化 / 特防强化,Tèfáng Qiánghuà / Dahkfòhng Kèuhngfa,0
Odd Incense,4,,Raises the power of Psychic-type moves. Mr. Mime holding this can breed Mime Jr.,,FALSE,あやしいおこう,Oyashii Okō,Encens Bizarre,Schrägrauch,Bizzoaroma,Incienso raro,괴상한향로,Goesanghan Hyangno,奇異薰香 / 奇异薰香,Qíyì Xūnxiāng / Kèihyih Fānhēung,144
X Defend 2,5,,Sharply raises a Pokémon's Defense. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Blue Scarf,3,,Raises the Beautiful condition.,,FALSE,あおいバンダナ,Aoi Bandanna,Foul. Bleu,Blauer Schal,Fascia Blu,Pañuelo Azul,파랑밴드,Parang Band,藍色頭巾 / 蓝色头巾,Lán-sè Tóujīn / Làahm-sīk Tàuhgān,0
Berry Juice,2,,Restores 20 HP.,,FALSE,きのみジュース,Kinomi Juice,Jus De Baie,Beerensaft,Succo di Bacca,Zumo de Baya,나무열매쥬스,Namu Yeolmae Juice,樹果汁 / 树果汁,Shù Guǒzhī / Syuh Gwójāp,0
X Defend 3,5,,Drastically raises a Pokémon's Defense. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Mayor's Note,3,,A letter from the Mayor to Justy.,,FALSE,しちょうのてがみ,Shichō no Tegami,Lettre Maire,Zettel,Nota Sindaco,Nota Alcalde,,,,,0
Douse Drive,5,,Makes Techno Blast a Water-type move when held by Genesect.,,FALSE,アクアカセット,Aqua Cassette,Module Aqua,Aquamodul,Idromodulo,HidroROM,아쿠아카세트,Aqua Cassette,水流卡帶 / 水流卡带,Shuǐliú Kǎdài / Séuilàuh Kāatdáai,0
Casteliacone,5,,Cures any status condition.,,FALSE,ヒウンアイス,Hiun Ice,Glace Volute,Stratos-Eis,Conostropoli,Porcehelado,구름아이스,Gureum Ice,飛雲冰淇淋 / 飞云冰淇淋,Fēiyún Bīngqílín / Fēiwàhn Bīngkèihlàhm,0
Payapa Berry,4,,Reduces damage from a super effective Psychic-type move.,,FALSE,ウタンのみ,Utan no Mi,Baie Yapap,Pyapabeere,Baccapayapa,Baya Payapa,야파열매,Yapa Yeolmae,福祿果 / 福禄果,Fúlù Guǒ / Fūkluhk Gwó,0
MysteryBerry,2,,Restores 5 PP.,,FALSE,ふしぎなきのみ,Fushigina Kino Mi,Baie Mystere,Rätselbeere,Bacca Mist.,Bayamisterio,이상한나무열매,Isanghan Namu Yeolmae,,,0
Protective Pads,7,,Protects the holder from effects caused by using moves that make contact with the target.,,FALSE,ぼうごパット,Bōgo Pad,Pare-Effet,Schutzpolster,Smorzaurti,Paracontacto,방호패드,Bangho Pad,部位護具 / 部位护具,Bùwèi Hùjù / Bouhwaih Wuhgeuih,0
Surprise Mulch,6,,"When applied to a Berry patch, increases the chance of Berry mutation.",,FALSE,びっくりこやし,Bikkuri Koyashi,Fertistantané,Wundermulch,Fertilsorpresa,Abono Sorpresa,깜놀비료,Kkamnol Biryo,吃驚肥 / 吃惊肥,Chījīng Féi / Hekgīng Fèih,0
Pomeg Berry,3,,"Makes a Pokémon more happy, but lowers EVs for HP.",,FALSE,ザロクのみ,Zaroku no Mi,Baie Grena,Granabeere,Baccagrana,Baya Grana,유석열매,Yuseok Yeolmae,榴石果,Liúshí Guǒ / Làuhsehk Gwó,0
Roller Skates,6,,Allows the player to glide around and perform tricks.,,FALSE,ローラースケート,Roller Skate,Rollers,Rollerskates,Pattini,Patines,롤러스케이트,Roller Skate,"溜冰鞋*
轮滑鞋","Liūbīng Xié / Làuhbīng Hàaih*
Lúnhuá Xié",3
Niniku Berry,3,,Pokéblock ingredient. Will become an Enigma Berry if transferred to Generation IV via Pal Park.,,FALSE,,,,,,,,,,,
Bug Memory,7,,Makes Silvally a Bug-type Pokémon and makes Multi-Attack a Bug-type move.,,FALSE,バグメモリ,Bug Memory,ROM Insecte,Käfer-Disc,ROM Coleottero,Disco Bicho,버그메모리,Bug Memory,"蟲子記憶碟*
虫子存储碟","Chóngzǐ Jìyìdié / Chùhngjí Geiyīkdihp*
Chóngzǐ Cúnchúdié",3
Ice Memory,7,,Makes Silvally a Ice-type Pokémon and makes Multi-Attack a Ice-type move.,,FALSE,アイスメモリ,Ice Memory,ROM Glace,Eis-Disc,ROM Ghiaccio,Disco Hielo,아이스메모리,Ice Memory,"冰雪記憶碟*
冰雪存储碟","Bīngxuě Jìyìdié / Bīngsyut Geiyīkdihp*
Bīngxuě Cúnchǔdié",3
Key to Room 4,6,,Opens Room 4 of the Abandoned ShipRSE/Sea MauvilleORAS.,Called Rm. 4 Key in Generation III.,FALSE,よんごうしつのカギ,Yon-gō Shitsu no Kagi,Clé Salle 4,R4-Schlüssel,Chiave stanza 4,Ll. Habitación 4,사호실열쇠,Sa-hosil Yeolsoe,"４號客房的鑰匙 /
４号客房的钥匙",4 Hào Kèfáng-de Yàoshi / 4 Houh Haakfóng-dīk Yeuhksìh,1616
Razor Claw,4,,Raises the chance of getting a critical hit. Allows Sneasel to evolve at night.,,FALSE,するどいツメ,Surudoi Tsume,Griffe Rasoir,Scharfklaue,Affilartigli,Garra Afilada,예리한손톱,Yerihan Sontop,銳利之爪 / 锐利之爪,Ruìlì-zhī Zhuǎ / Yeuihleih-jī Jáau,16
Mewtwonite Y,6,,Allows Mewtwo to Mega Evolve into Mega Mewtwo Y.,,FALSE,ミュウツナイトY,Mewtwonite Y,Mewtwoïte Y,Mewtunit Y,Mewtwoite Y,Mewtwoita Y,뮤츠나이트Y,Mewtwonite Y,超夢進化石Y / 超梦进化石Y,Chāomèng Jìnhuà Shí Y / Chīumuhng Jeunfa Sehk Y,0
Burn Heal,1,,Heals a burn.,,FALSE,やけどなおし,Yakedo Naoshi,Anti-Brûle,Feuerheiler,Antiscottatura,Antiquemar,화상치료제,Hwasang Chiryoje,灼傷藥 / 灼伤药,Zhuóshāngyào / Cheuksēungyeuhk,0
Solganium Z,7,,Allows Solgaleo and Dusk Mane Necrozma to upgrade Sunsteel Strike to the special Z-Move Searing Sunraze Smash.,,FALSE,ソルガレオＺ,Solgaleo-Z,Solgazélite,Solgalium Z,Solgaleium Z,Solgaleostal Z,솔가레오Z,Solgaleo-Z,索爾迦雷歐Ｚ / 索尔迦雷欧Ｚ,Suǒ'ěrjiāléiōu-Z / Sokyíhgālèuihāu-Z,0
PP Max,3,,Raises the PP of a move to the maximum.,,FALSE,ポイントマックス,Point Max,PP Max,AP-Top,PP-Max,PP Máximos,포인트 맥스,Point Max,ＰＰ極限提升劑 / ＰＰ极限提升剂,PP Jíxiàn Tíshēngjì / PP Gihkhaahn Tàihsīngjaih,16
Ground Memory,7,,Makes Silvally a Ground-type Pokémon and makes Multi-Attack a Ground-type move.,,FALSE,グラウンドメモリ,Ground Memory,ROM Sol,Boden-Disc,ROM Terra,Disco Tierra,그라운드메모리,Ground Memory,"大地記憶碟*
大地存储碟","Dàdì Jìyìdié / Daaihdeih Geiyīkdihp*
Dàdì Cúnchǔdié",3
X Sp. Def 2,5,,Sharply raises a Pokémon's Special Defense. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Balm Mushroom,5,,Can be sold for 25000.,Formatted as BalmMushroom in Generation V.,FALSE,かおるキノコ,Kaoru Kinoko,Champi Suave,Duftpilz,Profumfungo,Seta Aroma,향기버섯,Hyanggi Beoseot,芳香蘑菇,Fāngxiāng Mógū / Fōnghēung Mòhgū,1024
Ilima's Normalium Z,,,,,,イリマのノーマルＺ,Irima no Normal Z,Cristal Z Althéo,Elimas Normium Z,Normium Z Liam,Cristal Z (Liam),일리마의 노말Z,Illima-ui Normal-Z,伊利馬的一般Ｚ / 伊利马的一般Ｚ,Yīlìmǎ-de Yībān-Z / Yīleihmáh-dīk Yātbūn-Z,0
Charizardite Y,6,,Allows Charizard to Mega Evolve into Mega Charizard Y.,,FALSE,リザードナイトY,Lizardonite Y,Dracaufite Y,Gluraknit Y,Charizardite Y,Charizardita Y,리자몽나이트Y,Rizamonnite Y,噴火龍進化石Y / 喷火龙进化石Y,Pēnhuǒlóng Jìnhuà Shí Y / Panfólùhng Jeunfa Sehk Y,0
Running Shoes,3,,Allows the player to run faster.,,TRUE,,,,,,,,,,,
BridgeMail M,5,,Stationary with an arched bridge print. To be held by a Pokémon for delivery.,,FALSE,ブリッジメールＷ,Bridge Mail W,Lettre PontI,Brückbrief W,Mess. Merav.,C. Puente P,브리지메일W,Bridge Mail W,橋梁郵件Ｗ / 桥梁邮件Ｗ,Qiáoliáng Yóujiàn W / Kìuhlèuhng Yàuhgín W,0
Metagrossite,6,,Allows Metagross to Mega Evolve into Mega Metagross.,,FALSE,メタグロスナイト,Metagrossnite,Métalossite,Metagrossnit,Metagrossite,Metagrossita,메타그로스나이트,Metagrossnite,巨金怪進化石 / 巨金怪进化石,Jùjīnguài Jìnhuà Shí / Geuihgāmgwaai Jeunfa Sehk,0
Maingate Key,3,,Opens the front gate to the Shadow PKMN Lab.,,FALSE,メインゲートキー,Main Gate Key,Cle Labo,Torschlüssel,Chiave Canc.,Ll. Entrada,,,,,0
Iron Plate,4,,Raises the power of Steel-type moves.,,FALSE,こうてつプレート,Koutetsu Purēto,Plaque Fer,Eisentafel,Lastraferro,Tabla Acero,강철플레이트,Gangcheol Plate,鋼鐵石板 / 钢铁石板,Gāngtiě Shíbǎn / Gongtit Sehkbáan,0
Glalitite,6,,Allows Glalie to Mega Evolve into Mega Glalie.,,FALSE,オニゴーリナイト,Onigohrinite,Oniglalite,Firnontornit,Glalite,Glalita,얼음귀신나이트,Urumkisinnite,冰鬼護進化石 / 冰鬼护进化石,Bīngguǐhù Jìnhuà Shí / Bīnggwáiwuh Jeunfa Sehk,0
Terrain Extender,7,,"Lengthens duration of Electric Terrain, Psychic Terrain, Grassy Terrain, Misty Terrain, as well as Electric Surge, Psychic Surge, Grassy Surge, and Misty Surge from 5 turns to 8 turns when used by the holder.",,FALSE,グランドコート,Ground Coat,Champ'Duit,Feldbeschichtung,Fissacampo,Cubresuelos,그라운드코트,Ground Coat,大地膜,Dàdì Mó / Daaihdeih Mohk,0
Sea Incense,3,,Raises the power of Water-type moves. A Marill or Azumarill holding this can breed to produce Azurill Eggs.,,FALSE,うしおのおこう,Ushio no Okou,Encens Mer,Seerauch,Marearoma,Incienso marino,바닷물향로,Badasmul Hyangno,海潮薰香,Hǎicháo Xūnxiāng / Hóichìuh Fānhēung,16
Psychic Gem,5,,"Increases the power of the holder's first Psychic-type move by 50%, and is consumed after use.",,FALSE,エスパージュエル,Esper Jewel,Joyau Psy,Psychojuwel,Bijoupsico,Gema Psíquica,에스퍼주얼,Esper Jewel,超能力寶石 / 超能力宝石,Chāonénglì Bǎoshí / Chīunàhnglihk Bóusehk,16
Fist Plate,4,,Raises the power of Fighting-type moves.,,FALSE,こぶしのプレート,Kobushi no Purēto,Plaque Poing,Fausttafel,Lastrapugno,Tabla Fuerte,주먹플레이트,Jumeok Plate,拳頭石板 / 拳头石板,Quántóu Shíbǎn / Kyùhntàuh Sehkbáan,0
Charizardite X,6,,Allows Charizard to Mega Evolve into Mega Charizard X.,,FALSE,リザードナイトX,Lizardonite X,Dracaufite X,Gluraknit X,Charizardite X,Charizardita X,리자몽나이트X,Rizamonnite X,噴火龍進化石X / 喷火龙进化石X,Pēnhuǒlóng Jìnhuà Shí X / Panfólùhng Jeunfa Sehk X,0
Pikashunium Z,7,,"Allows Pikachu in a cap to upgrade Thunderbolt to the special Z-Move 10,000,000 Volt Thunderbolt.",,FALSE,サトピカＺ,Satopika-Z,Pikachazélite,Ash-Pikachium Z,Ashpikacium Z,Ash-Pikastal Z,지우피카Z,Jiupika-Z,智皮卡Ｚ,Zhìpíkǎ-Z / Jipèihkā-Z,0
Green Petal,7,,A green petal required to complete Mina's Trial.,,FALSE,みどりのはなびら,Midori no Hanabira,Pétale Vert,Grünes Blatt,Petalo verde,Pétalo Verde,초록꽃잎,Chorok Kkochip,綠色花瓣 / 绿色花瓣,Lǜ-sè Huābàn / Luhk-sīk Fāfáan,0
Gracidea,4,,Allows Shaymin to change form.,,FALSE,グラシデアのはな,Gracidea no Hana,Gracidée,Gracidea,Gracidea,Gracídea,그라시데아꽃,Gracidea Kkot,葛拉西蒂亞花 / 葛拉西蒂亚花,Gélāxīdìyǎ Huā / Gotlāaisāidaia Fā,0
Red Shard,3,,Exchangeable for a variety of services.,,FALSE,あかいかけら,Akai Kakera,Tesson Rouge,Purpurstück,Coccio Rosso,Parte Roja,빨강조각,Ppalgang Jogak,紅色碎片 / 红色碎片,Hóngsè Suìpiàn / Hùhngsīk Seuipin,0
Greet Mail,5,,Stationary for introductory greetings. To be held by a Pokémon for delivery.,,FALSE,はじめてメール,Hajimete Mail,Lettre Salut,Grußbrief,Mess. Inizio,C. Inicial,첫메일,Cheot Mail,初次郵件 / 初次邮件,Chūcì Yóujiàn / Chōchi Yàuhgín,0
X Special 3,5,,Drastically raises a Pokémon's Special Attack. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Swift Wing,5,,Raises the Speed of a Pokémon.,,FALSE,しゅんぱつのハネ,Shunpatsu no Hane,Aile Sprint,Flinkfeder,Piumreazione,Pluma Ímpetu,순발력날개,Sunballyeok Nalgae,瞬發之羽 / 瞬发之羽,Shùnfā-zhī Yǔ / Seunfaat-jī Yúh,16
Dark Gem,5,,"Increases the power of the holder's first Dark-type move by 50%, and is consumed after use.",,FALSE,あくのジュエル,Aku no Jewel,Joyau Ténèbres,Unlichtjuwel,Bijoubuio,Gema Siniestra,악주얼,Ak Jewel,惡之寶石 / 恶之宝石,È-zhī Bǎoshí / Ok-jī Bóusehk,144
Sharpedonite,6,,Allows Sharpedo to Mega Evolve into Mega Sharpedo.,,FALSE,サメハダナイト,Samehadenite,Sharpedite,Tohaidonit,Sharpedite,Sharpedonita,샤크니아나이트,Sharknianite,巨牙鯊進化石 / 巨牙鲨进化石,Jùyáshā Jìnhuà Shí / Geuihngàhsā Jeunfa Sehk,0
Scanner,3,,To be exchanged for a Deep Sea Scale or Deep Sea Tooth.,,FALSE,たんちき,Tanchiki,Scanner,Scanner,Scanner,Escáner,탐지기,Tamjigi,探測器 / 探测器,Tàncèqì / Taamchākhei,0
Mewnium Z,7,,Allows Mew to upgrade Psychic to the special Z-Move Genesis Supernova.,,FALSE,ミュウＺ,Mew-Z,Mewzélite,Mewnium Z,Mewnium Z,Mewstal Z,뮤Z,Mew-Z,夢幻Ｚ / 梦幻Ｚ,Mènghuàn-Z / Muhngwaahn-Z,0
Heat Rock,4,,Extends the duration of harsh sunlight.,,FALSE,あついいわ,Atsui Iwa,Roche Chaude,Heißbrocken,Rocciacalda,Roca Calor,뜨거운바위,Tteugeoun Bawi,熾熱岩石 / 炽热岩石,Chìrè Yánshí / Chiyiht Ngàahmsehk,0
Sweet Heart,5,,A very sugary chocolate. It restores one Pokémon's HP by 20.,,FALSE,ハートスイーツ,Heart Sweets,Chococœur,Herzkonfekt,Dolcecuore,Corazón Dulce,하트스위트,Sweet Heart,心形甜點 / 心形甜点,Xīnxíng Tiándiǎn / Sāmyìhng Tìhmdím,16
Rainbow Flower,7,,"A rainbow flower created from the Seven Petals obtained from Mina's trial, and required to finish Mina's Trial.",,FALSE,にじいろのはな,Nijiiro no Hana,Fleur 7 Couleurs,Regenbogenblüte,Fiore arcobaleno,Flor Irisada,무지개꽃,Mujigae Kkot,虹色之花,Hóng-sè-zhī Huā / Hùhng-sīk-jī Fā,0
Reveal Glass,5,,A glass that tells the truth. It is a mysterious glass that returns a Pokémon back to its original shape.,,FALSE,うつしかがみ,Reflecting Mirror,Miroir Sacré,Wahrspiegel,Verispecchio,Espejo Veraz,비추는거울,Bichu-neun Geoul,現形鏡 / 现形镜,Xiànxíng Jìng / Yihnyìhng Geng,0
Prism Scale,5,,A hold item that allows Feebas to evolve when traded.,,FALSE,きれいなウロコ,Kireina Uroko,Bel'Écaille,Schönschuppe,Squama Bella,Escama Bella,고운비늘,Goun Bineul,美麗鱗片 / 美丽鳞片,Měilì Línpiàn / Méihlaih Lèuhnpin,0
Item Drop,5,,Causes an ally to drop its held item. Wonder Launcher only.,,FALSE,アイテムドロップ,Item Drop,Jette Objet,Itemabwurf,Lascioggetto,Tiraobjeto,아이템드롭,Item Drop,,,0
Deep Sea Tooth,3,,A hold item that allows Clamperl to evolve into Huntail when traded.,Formatted as DeepSeaTooth prior to Generation VI.,FALSE,しんかいのキバ,Shinkai no Kiba,Dent Océan,Abysszahn,Dente Abissi,Diente Marino,심해의이빨,Simhae-ui Ippal,深海之牙,Shēnhǎi-zhī Yá / Sāmhói-jī Ngàh,1056
Parcel,4,,To be delivered to rival. Contains two Town Maps.,,FALSE,おとどけもの,Otodoke Mono,Colis,Paket,Pacco,Paquete,전해줄물건,Jeonhaejul Mulgeon,包裹,Bāoguǒ / Bāaugwó,1264
Prof's Letter,6,,Given to the player's mother in exchange for a Town Map and a Potion.,,FALSE,はかせのてがみ,Hakase no Tegami,Lettre du Prof,Brief vom Prof,Lettera del Prof,Carta Profesor,박사의편지,Baksa-ui Pyeonji,博士的信,Bóshì-de Xìn / Boksih-dīk Seun,0
Gold Teeth,1,,Safari Zone Warden's false teeth. Return for HM04 (Strength),,FALSE,きんのいれば,Kin no Ireba,Dent D'or,Goldzähne,Denti d’Oro,Dientes Oro,금틀니,Geum Teulli,金假牙,Jīn Jǐayá / Gām Gángàh,0
Manectite,6,,Allows Manectric to Mega Evolve into Mega Manectric.,,FALSE,ライボルトナイト,Livoltnite,Élecsprintite,Voltensonit,Manectricite,Manectricita,썬더볼트나이트,Thundervoltnite,雷電獸進化石 / 雷电兽进化石,Léidiànshòu Jìnhuà Shí / Lèuihdihnsau Jeunfa Sehk,0
Friend Ball,2,,A type of Poké Ball that causes the Pokémon to become friendly.,,FALSE,フレンドボール,Friend Ball,Copain Ball,Freundesball,Friend Ball,Amigo Ball,프랜드볼,Friend Ball,友友球,Yǒuyǒu Qiú / Yáuhyáuh Kàuh,0
Dream Mail,3,,To be held by a Pokémon for delivery.,,FALSE,ドリームメール,Dream Mail,Lettre Songe,Traumbrief,Mess. Sogno,Carta Sueño,,,,,0
Burn Drive,5,,Makes Techno Blast a Fire-type move when held by Genesect.,,FALSE,ブレイズカセット,Blaze Cassette,Module Pyro,Flammenmodul,Piromodulo,PiroROM,블레이즈카세트,Blaze Cassette,火焰卡帶 / 火焰卡带,Huǒyàn Kǎdài / Fóyihm Kāatdáai,0
Silver Wing,2,,Summons Lugia.,,FALSE,ぎんいろのはね,Gin'iro no Hane,Argent'Aile,Silberflügel,Aladargento,Ala Plateada,은빛날개,Eunbit Nalgae,銀色之羽 / 银色之羽,Yín-sè-zhī Yǔ / Ngàhn-sīk-jī Yúh,0
Silver Leaf,2,,May be held by a Pokémon transferred from Generation I.,,FALSE,ぎんのはっぱ,Gin no Happa,Feuille Arg.,Silberblatt,Fogliargento,Hoja Plata,은빛나뭇잎,Eunbit Namunnip,,,0
PSNCureBerry,2,,Cures poison.,,FALSE,どくけしのみ,Dokukeshi no Mi,Baie Antidot,Ggngiftbeere,Baccantivel.,Bayantídoto,해독열매,Haedok Yeolmae,,,0
Lava Cookie,3,,Cures any status condition.,,FALSE,フエンせんべい,Fuen Senbei,Lava Cookie,Lavakeks,Lavottino,Galleta Lava,용암전병,Yong-am Jeonbyeong,釜炎仙貝 / 釜炎仙贝,Fǔyán Xiānbèi / Fúyìhm Sīnbui,0
Bike Voucher,1,,Used to pay for a Bicycle.,,FALSE,ひきかえけん,Hikikaeken,Bon Commande,Rad Coupon,Buono Bici,Bono Bici,,,,,0
Bright Powder,2,,Lowers the opponent's accuracy.,Formatted as BrightPowder prior to Generation VI.,FALSE,ひかりのこな,Hikari no Kona,Poudre Claire,Blendpuder,Luminpolvere,Polvo Brillo,반짝가루,Banjjak Garu,光粉,Guāngfěn / Gwōngfán,1152
System Lever,3,,Shuts down the Cipher Key Lair.,,FALSE,かいじょレバー,Kaijo Lever,Levier,Systemhebel,Leva,Palanca,,,,,0
Rocky Helmet,5,,Any contact moves against the holder will deal 1/6 damage to the attacker.,,FALSE,ゴツゴツメット,Gotsugotsu Met,Casque Brut,Beulenhelm,Bitorzolelmo,Casco Dentado,울퉁불퉁멧,Ultungbultung-Met,凸凸頭盔 / 凸凸头盔,Tūtū Tóukuī / Dahtdaht Tàuhkwāi,16
Mawilite,6,,Allows Mawile to Mega Evolve into Mega Mawile.,,FALSE,クチートナイト,Kucheatnite,Mysdibulite,Flunkifernit,Mawilite,Mawilita,입치트나이트,Ipchittnite,大嘴娃進化石 / 大嘴娃进化石,Dàzuǐwá Jìnhuà Shí / Daaihjéuiwā Jeunfa Sehk,0
Leftovers,2,,Heals a little HP at the end of each turn.,,FALSE,たべのこし,Tabe Nokoshi,Restes,Überreste,Avanzi,Restos,먹다남은음식,Meokda Nameun Eumsik,吃剩的東西 / 吃剩的东西,Chīshèng-de Dōngxī / Heksihng-dīk Dūngsāi,0
Ein File F,3,,Describes additional details on purification.,,FALSE,ボルグファイルＦ,Borg File F,Dossier Teck F,Culpa-Akte A-B,Genus.File F,Parte Ein: F,,,,,0
Bicycle,1,,"Can be used to travel quickly. Cannot be ridden in swamps, or in very tall grass.",,FALSE,じてんしゃ,Jitensha,Bicyclette,Fahrrad,Bicicletta,Bici,자전거,Jajeon-geo,自行車 / 自行车,Zìxíngchē / Jihhàhngchē,16
